"Time","Initiator","Event Stage","Event Type","Target","Target owner","Channel","Outcome"
"2018-10-31T17:23:01.502+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@569670b1[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4fe5a48b[_referenceValue=PRV(oid=7f72e89e-d729-49f5-8c79-3eee75550cd6, targetType={.../common/common-3}UserType, targetName=testii)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:23:01.244+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@76f56e8[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","MODIFY_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@3bfc5176[_referenceValue=PRV(oid=7f72e89e-d729-49f5-8c79-3eee75550cd6, targetType={.../common/common-3}UserType, targetName=testii)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:20:37.523+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@5e0abd40[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@3ca99bf6[_referenceValue=PRV(oid=7f72e89e-d729-49f5-8c79-3eee75550cd6, targetType={.../common/common-3}UserType, targetName=testii)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:20:33.502+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@410c429d[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:18:55.995+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@18a2cc2b[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@13c992c2[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","PARTIAL_ERROR"
"2018-10-31T17:18:55.528+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@634fdd66[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","ADD_OBJECT","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@40f46338[_referenceValue=PRV(oid=7ab9f7ee-1eed-4a1b-aee6-8fe34e67a63e, targetType={.../common/common-3}RoleType, targetName=sudo)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:18:52.329+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@4e392c99[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","ADD_OBJECT",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:16:42.436+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@11b9e81e[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","EXECUTE_CHANGES_RAW","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@c00a3a2[_referenceValue=PRV(oid=aff32b9f-33e5-43b5-a308-2da1dd6604b6, targetType={.../common/common-3}RoleType, targetName=Assignemnt & Inducement UNIX Group Metarole)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
"2018-10-31T17:16:41.840+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@6f8eecb9[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","REQUEST","EXECUTE_CHANGES_RAW",,,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","UNKNOWN"
"2018-10-31T17:13:02.177+02:00","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@68d45835[_referenceValue=PRV(oid=00000000-0000-0000-0000-000000000002, targetType={.../common/common-3}UserType)]","EXECUTION","EXECUTE_CHANGES_RAW","com.evolveum.midpoint.xml.ns._public.common.common_3.ObjectReferenceType@36f3b429[_referenceValue=PRV(oid=017a3bc5-e102-4baa-bf93-369a90ec29dd, targetType={.../common/common-3}ResourceType, targetName=Unix Resource)]",,"http://midpoint.evolveum.com/xml/ns/public/gui/channels-3#user","SUCCESS"
